,Sample,String.x,Site,Zone,Type,Year,Family,Binomial,Common.name,MaxN,Biomass_g,Biomass_kg,String.y,Fish.,Lat.IN,Long.IN,Time.IN,Lat.OUT,Long.OUT,Time.OUT,Analyst.comments
1,PAL22_001,PAL22_1,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334,PAL22_01,Y,8.63842,134.63936,06:14,8.63492,134.64319,08:13,High RMS (~40). Can see 'Mothership' within 250m of deployment. EM 7 mins short.
2,PAL22_002,PAL22_1,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,0.00036,PAL22_01,Y,8.63978,134.638,06:19,8.63562,134.64267,08:18,EM 3 min short
3,PAL22_003,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267,PAL22_01,Y,8.64142,134.63712,06:23,8.63681,134.64233,08:22,High RMS (~30). EM 2 min short 
4,PAL22_004,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802,PAL22_01,Y,8.64277,134.63606,06:27,8.63753,134.64111,08:26,EM 1 min short 
5,PAL22_005,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773,PAL22_01,Y,8.64407,134.6349,06:31,8.63795,134.64994,08:30,"No LHS, watched RHS. EM 0.5 mins short. Fish only appear when BRUV is being pulled back up to vessel.; Left camera only took 1 video (corrupt SD card no. 9)"
6,PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,15,1282.21,1.28221,PAL22_02,Y,8.61146,134.6656,08:58,8.61227,134.68352,11:00, RHS is too short and doesn't include C. equiselis.
7,PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,4.00E-05,PAL22_02,Y,8.61146,134.6656,08:58,8.61227,134.68352,11:00, RHS is too short and doesn't include C. equiselis.
8,PAL22_007,PAL22_2,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,769.98,0.76998,PAL22_02,Y,8.60931,134.66507,09:01,8.61094,134.6826,11:05,
9,PAL22_008,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,3,208.37,0.20837,PAL22_02,Y,8.60767,134.66414,09:04,8.60995,134.68147,11:08,EM 0.5 mins short. ID check C.equiselis and unknown sp
10,PAL22_009,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,79,6889.06,6.88906,PAL22_02,Y,8.60601,134.66318,09:06,8.60878,134.68033,11:12,EM 5 min short 
11,PAL22_010,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.16,0.00016,PAL22_02,Y,8.6046,134.66209,09:09,8.60758,134.67944,11:15,EM 1 min short 
12,PAL22_011,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_03,N,8.67722,134.63536,12:48,8.68184,134.63315,14:56,No fish- EM 5 min short 
13,PAL22_012,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_03,N,8.67932,134.63628,12:50,8.68237,134.63477,15:01,
14,PAL22_013,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_03,N,8.68095,134.63773,12:53,8.68298,134.63641,15:05,
15,PAL22_014,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_03,N,8.68261,134.63905,12:56,8.68381,134.63789,15:10,Watched RHS. 
16,PAL22_015,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_03,N,8.68427,134.64006,12:59,8.68493,134.63814,15:15,Watched RHS. 
17,PAL22_016,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_04,Y,9.11123,134.95895,06:01,9.1032,134.96024,08:02,No fish EM 1 min short ; some condensation inside R4
18,PAL22_017,PAL22_4,N3,PNMS North,Fish,2022,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,0.14227,PAL22_04,Y,9.11211,134.96158,06:05,9.10389,134.96121,08:08,
19,PAL22_018,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,765.37,0.76537,PAL22_04,Y,9.11307,134.96388,06:09,9.10499,134.96104,08:12,
20,PAL22_019,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,5,1763.55,1.76355,PAL22_04,Y,9.11434,134.96571,06:12,9.10658,134.96077,08:16,
21,PAL22_020,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_04,N,9.11579,134.96724,06:16,9.10804,134.96077,08:20,
22,PAL22_021,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_05,N,9.14367,134.95018,08:51,9.14831,134.94322,10:51,
23,PAL22_022,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,524.92,0.52492,PAL22_05,Y,9.14592,134.95049,08:54,9.14967,134.94296,10:57,
24,PAL22_023,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,26,6864.53,6.86453,PAL22_05,Y,9.14798,134.95082,08:57,9.15128,134.94284,11:01,
25,PAL22_024,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_05,N,9.14985,134.95161,09:00,9.15276,134.94292,11:04,
26,PAL22_025,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_05,N,9.15169,134.95235,09:02,9.15407,134.94206,11:09,
27,PAL22_026,PAL22_6,N3,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,51,2955.09,2.95509,PAL22_06,Y,9.12392,134.9174,12:49,9.13413,134.92918,14:52,79.52 Hippurus trying to eat decapterus; Huge RMS - please check - cannot computer Decapterus sp measure
28,PAL22_026,PAL22_6,N3,PNMS North,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,2038.83,2.03883,PAL22_06,Y,9.12392,134.9174,12:49,9.13413,134.92918,14:52,79.52 Hippurus trying to eat decapterus; Huge RMS - please check - cannot computer Decapterus sp measure
29,PAL22_027,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,3,1068.19,1.06819,PAL22_06,Y,9.12553,134.91943,12:52,9.13521,134.93051,14:57,
30,PAL22_028,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,5,1141.23,1.14123,PAL22_06,Y,9.127,134.92122,12:55,9.13659,134.93184,15:02,
31,PAL22_028,PAL22_6,N3,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.39,0.00039,PAL22_06,Y,9.127,134.92122,12:55,9.13659,134.93184,15:02,
32,PAL22_029,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,963.27,0.96327,PAL22_06,Y,9.12893,134.92245,12:58,9.13828,134.93306,15:09,
33,PAL22_030,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,542.82,0.54282,PAL22_06,Y,9.13057,134.92407,13:00,9.13967,134.93355,15:16,Could only measure 1 of the two fish.
34,PAL22_030,PAL22_6,N3,PNMS North,Fish,2022,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,0.14227,PAL22_06,Y,9.13057,134.92407,13:00,9.13967,134.93355,15:16,Could only measure 1 of the two fish.
35,PAL22_031,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,479.69,0.47969,PAL22_07,Y,9.23522,134.52574,06:25,9.22523,134.50952,08:27,EM 1 min short; date correction 10/10/22
36,PAL22_032,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,445.42,0.44542,PAL22_07,Y,9.23493,134.52728,06:29,9.22483,134.51027,08:31,Double check canth
37,PAL22_033,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,447.3,0.4473,PAL22_07,Y,9.23491,134.52908,06:32,9.22431,134.51117,08:36,RMS high (40) Double check canth
38,PAL22_034,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,591.71,0.59171,PAL22_07,Y,9.23437,134.53072,06:36,9.22359,134.51222,08:40,Double check canth
39,PAL22_035,PAL22_7,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_07,N,9.23393,134.53221,06:39,9.22199,134.5126,08:44,
40,PAL22_036,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_08,N,9.25421,134.50368,09:08,9.2458,134.49661,11:11,
41,PAL22_037,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_08,N,9.2541,134.50545,09:11,9.24532,134.4973,11:15,
42,PAL22_038,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_08,N,9.25395,134.50716,09:13,9.24557,134.49831,11:18,
43,PAL22_039,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_08,N,9.25366,134.50887,09:16,9.24533,134.49922,11:23,
44,PAL22_040,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0,0,PAL22_08,N,9.25339,134.51062,09:19,9.24514,134.50003,11:26,EM 1 min short
45,PAL22_041,PAL22_9,W1,DFZ West,Fish,2022,Balistidae,Balistidae sp,triggerfishes,1,41.05,0.04105,PAL22_09,Y,7.54868,133.77444,06:16,7.54603,133.80141,08:17,
46,PAL22_041,PAL22_9,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,1.58,0.00158,PAL22_09,Y,7.54868,133.77444,06:16,7.54603,133.80141,08:17,
