Sample,String,Family,Binomial,Common name,MaxN,Biomass,TR,VUL-F,PD,VUL-C,IUCN,Has fed
PAL14_001,PAL14_01,Carangidae,Elagatis bipinnulata,rainbow runner,2,2359.122457,4.3,51,1,73.66932362,LC,No
PAL14_001,PAL14_01,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,15514.02353,4.1,85,0.5,-,NT,No
PAL14_002,PAL14_01,Scombridae,Acanthocybium solandri,wahoo,2,1362.514948,4.3,46,1,76.06382979,LC,No
PAL14_003,PAL14_02,Carangidae,Caranx sexfasciatus,bigeye trevally,2,10.50959048,4.5,45,0.5,71.83098592,LC,No
PAL14_003,PAL14_02,Carangidae,Decapterus sp,Decapterus scad,9,36.67550347,4,20,0.0501,-,LC,No
PAL14_003,PAL14_02,Monacanthidae,Monacanthidae sp,leatherjackets,2,7.774980711,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_003,PAL14_02,Monacanthidae,Cantherhines fronticinctus,spectacled filefish ,1,2.182242762,3.5,33,0.5002,-,LC,No
PAL14_003,PAL14_02,Nomeidae,Psenes cyanophrys,freckled driftfish ,11,10.94677246,3.44,19,0.5313,-,LC,No
PAL14_003,PAL14_02,Unknown,Unknown sp,unknown,11,15.88756278,-,-,-,-,-,No
PAL14_004,PAL14_02,Carangidae,Carangidae sp,jacks,3,2.745384011,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_004,PAL14_02,Carangidae,Caranx sexfasciatus,bigeye trevally,4,22.01803665,4.5,45,0.5,71.83098592,LC,No
PAL14_004,PAL14_02,Carangidae,Decapterus sp,Decapterus scad,6,5.102261397,4,20,0.0501,-,LC,No
PAL14_004,PAL14_02,Monacanthidae,Monacanthidae sp,leatherjackets,1,4.068314244,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_005,PAL14_02,Nomeidae,Psenes sp,Psenes driftfish,3,9.516693097,3.52,15,0.51615,-,LC,No
PAL14_006,PAL14_02,Carangidae,Caranx sexfasciatus,bigeye trevally,2,3.296249858,4.5,45,0.5,71.83098592,LC,No
PAL14_006,PAL14_02,Carangidae,Decapterus sp,Decapterus scad,10,44.52447867,4,20,0.0501,-,LC,No
PAL14_006,PAL14_02,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.929297623,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_006,PAL14_02,Nomeidae,Psenes sp,Psenes driftfish,3,0.422180491,3.52,15,0.51615,-,LC,No
PAL14_007,PAL14_02,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_007,PAL14_02,Carangidae,Caranx sexfasciatus,bigeye trevally,3,39.95819658,4.5,45,0.5,71.83098592,LC,No
PAL14_007,PAL14_02,Carangidae,Decapterus sp,Decapterus scad,15,635.2877781,4,20,0.0501,-,LC,No
PAL14_007,PAL14_02,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.182672205,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_008,PAL14_03,Carangidae,Elagatis bipinnulata,rainbow runner,8,8909.472971,4.3,51,1,73.66932362,LC,No
PAL14_008,PAL14_03,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,4,56459.67907,4.1,85,0.5,-,NT,No
PAL14_008,PAL14_03,Sphyrnidae,Sphyrna lewini,scalloped hammerhead,1,18194.41321,4.1,81,0.5029,61.66666667,CR,No
PAL14_010,PAL14_03,Carcharhinidae,Carcharhinus falciformis,silky shark,1,16364.30876,4.5,79,0.5,76.31578947,VU,No
PAL14_013,PAL14_04,Balistidae,Balistidae sp,triggerfishes,1,0.126372861,3.38,-,-,-,-,No
PAL14_013,PAL14_04,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,43561.64701,4.1,85,0.5,-,NT,No
PAL14_013,PAL14_04,Scombridae,Acanthocybium solandri,wahoo,1,10147.92037,4.3,46,1,76.06382979,LC,No
PAL14_013,PAL14_04,Scombridae,Grammatorcynus sp,mackerel,1,1933.815701,4.3,49,0.75,-,LC,No
PAL14_016,PAL14_04,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_021,PAL14_05,Monacanthidae,Monacanthidae sp,leatherjackets,1,11.87729721,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_021,PAL14_05,Carangidae,Carangidae sp,jacks,3,2.745384011,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_021,PAL14_05,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,21442.37436,4.1,85,0.5,-,NT,No
PAL14_022,PAL14_05,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.75459443,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_022,PAL14_05,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_022,PAL14_05,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,61868.66693,4.1,85,0.5,-,NT,No
PAL14_023,PAL14_05,Monacanthidae,Monacanthidae sp,leatherjackets,2,23.75459443,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_023,PAL14_05,Nomeidae,Psenes cyanophrys,freckled driftfish ,1,0.995161133,3.44,19,0.5313,-,LC,No
PAL14_024,PAL14_05,Blenniidae,Aspidontus dussumieri,lance blenny,1,0.464326149,2,23,0.625,-,LC,No
PAL14_024,PAL14_05,Nomeidae,Psenes sp,Psenes driftfish,1,0.433410375,3.52,15,0.51615,-,LC,No
PAL14_025,PAL14_05,Nomeidae,Psenes sp,Psenes driftfish,1,0.117013977,3.52,15,0.51615,-,LC,No
PAL14_026,PAL14_06,Carangidae,Caranx sexfasciatus,bigeye trevally,4,4.984448645,4.5,45,0.5,71.83098592,LC,No
PAL14_026,PAL14_06,Carcharhinidae,Carcharhinus falciformis,silky shark,1,15125.10588,4.5,79,0.5,76.31578947,VU,No
PAL14_026,PAL14_06,Fistulariidae,Fistulariidae sp,cornetfishes,2,4.956152232,4.3,63.945,0.625,-,-,No
PAL14_026,PAL14_06,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.56567422,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_026,PAL14_06,Nomeidae,Psenes sp,Psenes driftfish,1,0.751248522,3.52,15,0.51615,-,LC,No
PAL14_027,PAL14_06,Carangidae,Carangidae sp,jacks,5,4.575640018,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_027,PAL14_06,Carangidae,Caranx sexfasciatus,bigeye trevally,3,3.374734562,4.5,45,0.5,71.83098592,LC,No
PAL14_027,PAL14_06,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,2,4.282786525,3.5,24,0.5312,-,LC,No
PAL14_027,PAL14_06,Monacanthidae,Monacanthidae sp,leatherjackets,2,4.529784499,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_029,PAL14_06,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_029,PAL14_06,Carangidae,Caranx sexfasciatus,bigeye trevally,4,19.85437049,4.5,45,0.5,71.83098592,LC,No
PAL14_029,PAL14_06,Carangidae,Decapterus sp,Decapterus scad,2,464.1758344,4,20,0.0501,-,LC,No
PAL14_029,PAL14_06,Carcharhinidae,Carcharhinus falciformis,silky shark,1,19679.35706,4.5,79,0.5,76.31578947,VU,No
PAL14_029,PAL14_06,Labridae,Labroides dimidiatus,bluestreak cleaner wrasse,1,2.141393263,3.5,24,0.5312,-,LC,No
PAL14_029,PAL14_06,Monacanthidae,Monacanthidae sp,leatherjackets,3,11.22917318,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_030,PAL14_06,Carangidae,Caranx sexfasciatus,bigeye trevally,1,2.586093223,4.5,45,0.5,71.83098592,LC,No
PAL14_030,PAL14_06,Carangidae,Decapterus sp,Decapterus scad,2,375.2805338,4,20,0.0501,-,LC,No
PAL14_030,PAL14_06,Carcharhinidae,Carcharhinus falciformis,silky shark,1,17303.79615,4.5,79,0.5,76.31578947,VU,No
PAL14_030,PAL14_06,Fistulariidae,Fistularia sp,cornetfish,5,11.09192099,4.3,69.5,0.625,-,LC,No
PAL14_030,PAL14_06,Monacanthidae,Monacanthidae sp,leatherjackets,4,20.56744844,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_031,PAL14_07,Carangidae,Caranx sexfasciatus,bigeye trevally,1,3.176579083,4.5,45,0.5,71.83098592,LC,No
PAL14_031,PAL14_07,Carangidae,Decapterus sp,Decapterus scad,10,9.595723093,4,20,0.0501,-,LC,No
PAL14_031,PAL14_07,Carangidae,Elagatis bipinnulata,rainbow runner,2,2299.540342,4.3,51,1,73.66932362,LC,No
PAL14_031,PAL14_07,Carcharhinidae,Carcharhinus falciformis,silky shark,8,123118.8502,4.5,79,0.5,76.31578947,VU,No
PAL14_031,PAL14_07,Scombridae,Euthynnus affinis,kawakawa,1,576.4556466,4.3,37,0.625,75,LC,No
PAL14_031,PAL14_07,Scombridae,Thunnus alalunga,albacore ,30,20545.57064,4.22,71,0.5039,42.21105528,NT,No
PAL14_032,PAL14_07,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_032,PAL14_07,Carangidae,Decapterus sp,Decapterus scad,63,8068.924464,4,20,0.0501,-,LC,No
PAL14_032,PAL14_07,Carangidae,Elagatis bipinnulata,rainbow runner,2,1260.903785,4.3,51,1,73.66932362,LC,No
PAL14_032,PAL14_07,Carcharhinidae,Carcharhinus falciformis,silky shark,6,21465.46351,4.5,79,0.5,76.31578947,VU,No
PAL14_032,PAL14_07,Scombridae,Euthynnus affinis,kawakawa,1,3949.593112,4.3,37,0.625,75,LC,No
PAL14_032,PAL14_07,Scombridae,Thunnus alalunga,albacore ,11,7167.44088,4.22,71,0.5039,42.21105528,NT,No
PAL14_033,PAL14_07,Blenniidae,Aspidontus taeniatus,false cleanerfish,1,0.241979684,3.8,22,0.625,-,LC,No
PAL14_033,PAL14_07,Carangidae,Carangidae sp,jacks,2,1.830256007,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_033,PAL14_07,Carcharhinidae,Carcharhinus falciformis,silky shark,3,9345.571832,4.5,79,0.5,76.31578947,VU,No
PAL14_033,PAL14_07,Scombridae,Thunnus alalunga,albacore ,37,10245.25896,4.22,71,0.5039,42.21105528,NT,No
PAL14_034,PAL14_07,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_034,PAL14_07,Carcharhinidae,Carcharhinus falciformis,silky shark,5,33749.2411,4.5,79,0.5,76.31578947,VU,No
PAL14_035,PAL14_07,Carangidae,Carangidae sp,jacks,3,2.745384011,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_035,PAL14_07,Carangidae,Decapterus macarellus,mackerel scad,11,98.34313104,4,20,0.0501,-,LC,No
PAL14_035,PAL14_07,Carcharhinidae,Carcharhinus falciformis,silky shark,1,10889.39918,4.5,79,0.5,76.31578947,VU,No
PAL14_036,PAL14_08,Carangidae,Carangidae sp,jacks,3,3.544012252,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_036,PAL14_08,Carangidae,Caranx sexfasciatus,bigeye trevally,5,27.14752579,4.5,45,0.5,71.83098592,LC,No
PAL14_037,PAL14_08,Carangidae,Carangidae sp,jacks,3,6.866872086,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_037,PAL14_08,Echeneidae,Echeneis naucrates,live sharksucker,3,466.5100174,3.7,54,0.7539,-,LC,No
PAL14_038,PAL14_08,Carangidae,Carangidae sp,jacks,3,8.748689767,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_038,PAL14_08,Carangidae,Caranx sp,Caranx trevally,1,4.011877372,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_038,PAL14_08,Carangidae,Decapterus sp,Decapterus scad,23,10.07667187,4,20,0.0501,-,LC,No
PAL14_039,PAL14_08,Carangidae,Carangidae sp,jacks,2,3.134897047,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_039,PAL14_08,Carangidae,Caranx sexfasciatus,bigeye trevally,3,29.26400071,4.5,45,0.5,71.83098592,LC,No
PAL14_039,PAL14_08,Carcharhinidae,Carcharhinus falciformis,silky shark,1,30914.67704,4.5,79,0.5,76.31578947,VU,No
PAL14_039,PAL14_08,Monacanthidae,Monacanthidae sp,leatherjackets,1,0.234756755,3.786503253,49.14460877,0.618913162,-,-,No
PAL14_040,PAL14_08,Carangidae,Caranx sp,Caranx trevally,1,5.063490405,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_040,PAL14_08,Nomeidae,Psenes sp,Psenes driftfish,7,23.57647546,3.52,15,0.51615,-,LC,No
PAL14_040,PAL14_08,Scombridae,Sarda sp,bonito,17,21733.87363,4.365000008,44.172,0.5312,-,LC,No
PAL14_041,PAL14_09,Coryphaenidae,Coryphaena hippurus,common dolphinfish,3,5289.223638,4.4,40,1,69.50897571,LC,No
PAL14_042,PAL14_09,Sphyraenidae,Sphyraena barracuda,great barracuda,1,1696.318659,4.5,79,0.5,51.69215292,LC,No
PAL14_043,PAL14_09,Carangidae,Carangidae sp,jacks,1,0.823383792,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_043,PAL14_09,Carcharhinidae,Carcharhinus falciformis,silky shark,1,7018.075202,4.5,79,0.5,76.31578947,VU,No
PAL14_043,PAL14_09,Nomeidae,Psenes sp,Psenes driftfish,1,0.50061328,3.52,15,0.51615,-,LC,No
PAL14_044,PAL14_09,Carangidae,Carangidae sp,jacks,32,34.15364843,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_044,PAL14_09,Carangidae,Caranx sp,Caranx trevally,1,2.165447777,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_044,PAL14_09,Nomeidae,Psenes sp,Psenes driftfish,1,0.913350404,3.52,15,0.51615,-,LC,No
PAL14_045,PAL14_09,Nomeidae,Psenes sp,Psenes driftfish,1,5.43968129,3.52,15,0.51615,-,LC,No
PAL14_046,PAL14_10,Carangidae,Carangidae sp,jacks,1,0.915128004,3.79574374,49.40761956,0.613796318,-,-,No
PAL14_046,PAL14_10,Carangidae,Caranx sp,Caranx trevally,5,32.12878033,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_046,PAL14_10,Echeneidae,Echeneis naucrates,live sharksucker,1,693.1591816,3.7,54,0.7539,-,LC,No
PAL14_046,PAL14_10,Nomeidae,Psenes sp,Psenes driftfish,1,1.559012948,3.52,15,0.51615,-,LC,No
PAL14_047,PAL14_10,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,1,616.5545243,4,41,0.625,-,NE,No
PAL14_047,PAL14_10,Carangidae,Decapterus sp,Decapterus scad,182,361.6726807,4,20,0.0501,-,LC,No
PAL14_047,PAL14_10,Echeneidae,Echeneis naucrates,live sharksucker,1,854.8023723,3.7,54,0.7539,-,LC,No
PAL14_047,PAL14_10,Nomeidae,Psenes sp,Psenes driftfish,4,3.332122231,3.52,15,0.51615,-,LC,No
PAL14_048,PAL14_10,Balistidae,Pseudobalistes fuscus,yellow-spotted triggerfish,4,4084.795404,4,41,0.625,-,NE,No
PAL14_048,PAL14_10,Carangidae,Caranx sp,Caranx trevally,4,74.09542534,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_048,PAL14_10,Carcharhinidae,Carcharhinus galapagensis,Galapagos shark ,1,125403.5453,4.29,84,0.5,-,NT,No
PAL14_048,PAL14_10,Echeneidae,Echeneis naucrates,live sharksucker,1,844.9234996,3.7,54,0.7539,-,LC,No
PAL14_049,PAL14_10,Carangidae,Caranx sp,Caranx trevally,1,3.294474899,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_049,PAL14_10,Carangidae,Decapterus sp,Decapterus scad,88,64.76936361,4,20,0.0501,-,LC,No
PAL14_049,PAL14_10,Echeneidae,Echeneis naucrates,live sharksucker,1,458.1733121,3.7,54,0.7539,-,LC,No
PAL14_050,PAL14_10,Carangidae,Caranx sp,Caranx trevally,2,18.16696611,3.849100875,37.88363014,0.567620548,-,LC,No
PAL14_050,PAL14_10,Carangidae,Decapterus sp,Decapterus scad,145,121.1085006,4,20,0.0501,-,LC,No
PAL14_050,PAL14_10,Echeneidae,Echeneis naucrates,live sharksucker,1,672.0920301,3.7,54,0.7539,-,LC,No
PAL14_051,PAL14_11,Carangidae,Decapterus sp,Decapterus scad,36,96.06113364,4,20,0.0501,-,LC,No
PAL14_051,PAL14_11,Nomeidae,Psenes sp,Psenes driftfish,2,9.909877568,3.52,15,0.51615,-,LC,No
