Sample,String,Site,Zone,Type,Year,Family,Binomial,Common name,MaxN,Biomass
PAL22_001,PAL22_1,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34
PAL22_002,PAL22_1,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36
PAL22_003,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67
PAL22_004,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2
PAL22_005,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73
PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,15,1282.21
PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04
PAL22_007,PAL22_2,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,769.98
PAL22_008,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,3,208.37
PAL22_009,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,79,6889.06
PAL22_010,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.16
PAL22_011,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0
PAL22_012,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0
PAL22_013,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0
PAL22_014,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0
PAL22_015,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0
PAL22_016,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0
PAL22_017,PAL22_4,N3,PNMS North,Fish,2022,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27
PAL22_018,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,765.37
PAL22_019,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,5,1763.55
PAL22_020,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0
PAL22_021,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0
PAL22_022,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,524.92
PAL22_023,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,26,6864.53
PAL22_024,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0
PAL22_025,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0
PAL22_026,PAL22_6,N3,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,51,2955.09
PAL22_026,PAL22_6,N3,PNMS North,Fish,2022,Coryphaenidae,Coryphaena hippurus,common dolphinfish,2,2038.83
PAL22_027,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,3,1068.19
PAL22_028,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,5,1141.23
PAL22_028,PAL22_6,N3,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.39
PAL22_029,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,963.27
PAL22_030,PAL22_6,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,542.82
PAL22_030,PAL22_6,N3,PNMS North,Fish,2022,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27
PAL22_031,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,479.69
PAL22_032,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,445.42
PAL22_033,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,447.3
PAL22_034,PAL22_7,N4,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,591.71
PAL22_035,PAL22_7,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_036,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_037,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_038,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_039,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_040,PAL22_8,N4,PNMS North,Fish,2022,None,None,None,0,0
PAL22_041,PAL22_9,W1,DFZ West,Fish,2022,Balistidae,Balistidae sp,triggerfishes,1,41.05
PAL22_041,PAL22_9,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,1.58
PAL22_042,PAL22_9,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus sp,leatherjacket filefish,1,196.35
PAL22_043,PAL22_9,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,1,209.59
PAL22_044,PAL22_9,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.73
PAL22_044,PAL22_9,W1,DFZ West,Fish,2022,Priacanthidae,Priacanthus sp,bigeye,1,0.97
PAL22_045,PAL22_9,W1,DFZ West,Fish,2022,None,None,None,0,0
PAL22_046,PAL22_10,W1,DFZ West,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.65
PAL22_047,PAL22_10,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,702.28
PAL22_047,PAL22_10,W1,DFZ West,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,315.01
PAL22_048,PAL22_10,W1,DFZ West,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,273.85
