Sample,String,Zone,Site,Taxa,Binomial,Common name,MaxN,Biomass,TR,VUL-F,PD,VUL-C,IUCN,Has fed
PAL22_001,PAL22_1,PNMS North,N1,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,2.8,68,0.5625,-,LC,No
PAL22_002,PAL22_1,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.52,15,0.51615,-,LC,No
PAL22_003,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,4,142.67,4,20,0.0501,-,LC,No
PAL22_004,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,6,280.2,4,20,0.0501,-,LC,No
PAL22_005,PAL22_1,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,5,207.73,4,20,0.0501,-,LC,No
PAL22_006,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,15,1282.21,4.5,39,1,-,LC,No
PAL22_006,PAL22_2,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,3.52,15,0.51615,-,LC,No
PAL22_007,PAL22_2,PNMS North,N1,Carangidae,Decapterus sp,Decapterus scad,13,769.98,4,20,0.0501,-,LC,No
PAL22_008,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,3,208.37,4.5,39,1,-,LC,No
PAL22_009,PAL22_2,PNMS North,N1,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,79,6889.06,4.5,39,1,-,LC,No
PAL22_010,PAL22_2,PNMS North,N1,Nomeidae,Psenes sp,Psenes driftfish,1,0.16,3.52,15,0.51615,-,LC,No
PAL22_011,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_012,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_013,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_014,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_015,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_016,PAL22_3,PNMS North,N1,None,None,None,0,0,0,0,0,0,0,0
PAL22_017,PAL22_4,PNMS North,N3,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,4.3,51,1,-,LC,No
PAL22_018,PAL22_4,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,2,765.37,3.5,41,0.625,-,LC,No
PAL22_019,PAL22_4,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,5,1763.55,3.5,41,0.625,-,LC,No
PAL22_020,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_021,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_022,PAL22_5,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,1,524.92,3.5,41,0.625,-,LC,Yes
PAL22_023,PAL22_5,PNMS North,N3,Balistidae,Canthidermis maculata,rought triggerfish,26,6864.53,3.5,41,0.625,-,LC,No
PAL22_024,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_025,PAL22_5,PNMS North,N3,None,None,None,0,0,0,0,0,0,0,0
PAL22_026,PAL22_6,PNMS North,N3,Carangidae,Decapterus sp,Decapterus scad,51,2955.09,4,20,0.0501,-,LC,No
