Sample ID,String,Year,Family,Binomial,Common name,MaxN,Biomass
PAL14_001,PAL14_01,2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,2359.122457
PAL14_001,PAL14_01,2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,15514.02353
PAL14_002,PAL14_01,2014,Scombridae,Acanthocybium solandri,wahoo,2,1362.514948
PAL14_003,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,10.50959048
PAL14_003,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,9,36.67550347
PAL14_003,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,7.774980711
PAL14_003,PAL14_02,2014,Monacanthidae,Cantherhines fronticinctus,spectacled filefish ,1,2.182242762
PAL14_003,PAL14_02,2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,11,10.94677246
PAL14_003,PAL14_02,2014,Unknown,Unknown sp,unknown,11,15.88756278
PAL14_004,PAL14_02,2014,Carangidae,Carangidae sp,jacks,3,2.745384011
PAL14_004,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,22.01803665
PAL14_004,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,6,5.102261397
PAL14_004,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,4.068314244
PAL14_005,PAL14_02,2014,Nomeidae,Psenes sp,Psenes driftfish,3,9.516693097
PAL14_006,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,3.296249858
PAL14_006,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,10,44.52447867
PAL14_006,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.929297623
PAL14_006,PAL14_02,2014,Nomeidae,Psenes sp,Psenes driftfish,3,0.422180491
PAL14_007,PAL14_02,2014,Carangidae,Carangidae sp,jacks,2,1.830256007
PAL14_007,PAL14_02,2014,Carangidae,Caranx sexfasciatus,bigeye trevally,3,39.95819658
PAL14_007,PAL14_02,2014,Carangidae,Decapterus sp,Decapterus scad,15,635.2877781
PAL14_007,PAL14_02,2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,3.182672205
PAL14_008,PAL14_03,2014,Carangidae,Elagatis bipinnulata,rainbow runner,8,8909.472971
