Sample,String,Fish?,Lat-IN,Long-IN,Time-IN,Lat-OUT,Long-OUT,Time-OUT,Analyst comments
PAL22_001,PAL22_01,Y,8.63842,134.63936,06:14,8.63492,134.64319,08:13,High RMS (~40). Can see 'Mothership' within 250m of deployment. EM 7 mins short.
PAL22_002,PAL22_01,Y,8.63978,134.638,06:19,8.63562,134.64267,08:18,EM 3 min short
PAL22_003,PAL22_01,Y,8.64142,134.63712,06:23,8.63681,134.64233,08:22,High RMS (~30). EM 2 min short 
PAL22_004,PAL22_01,Y,8.64277,134.63606,06:27,8.63753,134.64111,08:26,EM 1 min short 
PAL22_005,PAL22_01,Y,8.64407,134.6349,06:31,8.63795,134.64994,08:30,"No LHS, watched RHS. EM 0.5 mins short. Fish only appear when BRUV is being pulled back up to vessel.; Left camera only took 1 video (corrupt SD card no. 9)"
PAL22_006,PAL22_02,Y,8.61146,134.6656,08:58,8.61227,134.68352,11:00, RHS is too short and doesn't include C. equiselis.
PAL22_007,PAL22_02,Y,8.60931,134.66507,09:01,8.61094,134.6826,11:05,
PAL22_008,PAL22_02,Y,8.60767,134.66414,09:04,8.60995,134.68147,11:08,EM 0.5 mins short. ID check C.equiselis and unknown sp
PAL22_009,PAL22_02,Y,8.60601,134.66318,09:06,8.60878,134.68033,11:12,EM 5 min short 
PAL22_010,PAL22_02,Y,8.6046,134.66209,09:09,8.60758,134.67944,11:15,EM 1 min short 
PAL22_011,PAL22_03,N,8.67722,134.63536,12:48,8.68184,134.63315,14:56,No fish- EM 5 min short 
PAL22_012,PAL22_03,N,8.67932,134.63628,12:50,8.68237,134.63477,15:01,
PAL22_013,PAL22_03,N,8.68095,134.63773,12:53,8.68298,134.63641,15:05,
PAL22_014,PAL22_03,N,8.68261,134.63905,12:56,8.68381,134.63789,15:10,Watched RHS. 
PAL22_015,PAL22_03,N,8.68427,134.64006,12:59,8.68493,134.63814,15:15,Watched RHS. 
PAL22_016,PAL22_04,Y,9.11123,134.95895,06:01,9.1032,134.96024,08:02,No fish EM 1 min short ; some condensation inside R4
PAL22_017,PAL22_04,Y,9.11211,134.96158,06:05,9.10389,134.96121,08:08,
