Sample,Date,Site_Meta,Zone_Meta,Depth,Duration
PAL22_001,10/08/22,N1,PNMS North,1400,02:05:37
PAL22_002,10/08/22,N1,PNMS North,1400,02:01:49
PAL22_003,10/08/22,N1,PNMS North,1400,02:01:15
PAL22_004,10/08/22,N1,PNMS North,1400,02:02:10
PAL22_005,10/08/22,N1,PNMS North,1400,02:01:24
PAL22_006,10/08/22,N1,PNMS North,2200,02:01:32
PAL22_007,10/08/22,N1,PNMS North,2200,02:04:02
PAL22_008,10/08/22,N1,PNMS North,2200,02:07:00
PAL22_009,10/08/22,N1,PNMS North,2200,02:01:04
PAL22_010,10/08/22,N1,PNMS North,2200,02:07:16
PAL22_011,10/08/22,N1,PNMS North,2200,02:08:49
PAL22_012,10/08/22,N1,PNMS North,2200,02:04:47
PAL22_013,10/08/22,N1,PNMS North,2200,02:01:18
PAL22_014,10/08/22,N1,PNMS North,2200,02:04:49
PAL22_015,10/08/22,N1,PNMS North,2200,02:08:57
PAL22_016,10/09/22,N3,PNMS North,2600,02:04:59
PAL22_017,10/09/22,N3,PNMS North,2600,02:02:43
PAL22_018,10/09/22,N3,PNMS North,2600,02:03:24
PAL22_019,10/09/22,N3,PNMS North,2600,02:06:58
PAL22_020,10/09/22,N3,PNMS North,2600,02:03:45
PAL22_021,10/09/22,N3,PNMS North,2400,02:03:46
PAL22_022,10/09/22,N3,PNMS North,2400,02:05:06
PAL22_023,10/09/22,N3,PNMS North,2400,02:07:49
PAL22_024,10/09/22,N3,PNMS North,2400,02:07:18
PAL22_025,10/09/22,N3,PNMS North,2400,02:07:35
PAL22_026,10/09/22,N3,PNMS North,2200,02:06:07
PAL22_027,10/09/22,N3,PNMS North,2200,02:03:39
PAL22_028,10/09/22,N3,PNMS North,2200,02:04:05
PAL22_029,10/09/22,N3,PNMS North,2200,02:04:59
PAL22_030,10/09/22,N3,PNMS North,2200,02:02:37
PAL22_031,10/10/22,N4,PNMS North,1400,01:58:53
PAL22_032,10/10/22,N4,PNMS North,1400,02:02:52
PAL22_033,10/10/22,N4,PNMS North,1400,02:06:53
PAL22_034,10/10/22,N4,PNMS North,1400,02:02:46
PAL22_035,10/10/22,N4,PNMS North,1400,02:05:56
PAL22_036,10/10/22,N4,PNMS North,1200,02:05:16
PAL22_037,10/10/22,N4,PNMS North,1200,02:06:52
PAL22_038,10/10/22,N4,PNMS North,1200,02:06:37
PAL22_039,10/10/22,N4,PNMS North,1200,02:07:32
PAL22_040,10/10/22,N4,PNMS North,1200,02:05:44
PAL22_041,10/11/22,W1,DFZ West,1200,02:01:17
PAL22_042,10/11/22,W1,DFZ West,1200,02:01:42
PAL22_043,10/11/22,W1,DFZ West,1200,02:01:40
PAL22_044,10/11/22,W1,DFZ West,1200,02:00:41
PAL22_045,10/11/22,W1,DFZ West,1200,02:06:16
PAL22_046,10/11/22,W1,DFZ West,2200,02:03:05
