ID,String,Region,Site,Zone,Type,Site_no,Replicate,Plankton_Category,Specimen_Type,Plankton_Group,Total_Count
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,7
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,244
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,5
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,55
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,12
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,261
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,8
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,20
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Larvaceans,Other Gelatinous,6
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Other Gelatinous,Other Gelatinous,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Crab,Crustacea,29
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Evadne,Crustacea,107
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Chaetognath,Chaetognatha,43
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,2
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Krill,Malacostraca,28
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Shrimp,Malacostraca,7
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Amphipod,Crustacea,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Amphipod,Crustacea,2
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Bivalve,Bivalvia,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Fish,Fish embryo/egg,29
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Polychaete,Polychaeta,1
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,25
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,2
PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,3
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,5
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Shrimp,Malacostraca,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,19
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Echinoderm,Echinodermata,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,485
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Barnacle,Gastropoda,2
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Pteropod,Gastropoda,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Benthic_Snail,Gastropoda,3
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Larvaceans,Other Gelatinous,12
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Other Gelatinous,Other Gelatinous,18
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Crab,Crustacea,3
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Evadne,Crustacea,69
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Chaetognath,Chaetognatha,11
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Chaetognath,Chaetognatha,6
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Amphipod,Crustacea,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Benthic_Snail,Gastropoda,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Benthic_Snail,Gastropoda,32
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,3
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,8
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,9
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Fish,Fish embryo/egg,44
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Fish,Fish embryo/egg,35
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Fish,Fish embryo/egg,2
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Fish,Fish embryo/egg,3
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Ostracod,Crustacea,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Polychaete,Polychaeta,1
PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Pteropod,Gastropoda,1
