Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Final_ID,Total Count,SampleBase,BRUVString
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",NA,7,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,NA,244,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",NA,5,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,NA,55,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,NA,Unknown,1,Unknown_1,Deosergestes sp.,NA,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),Euthecosomata,NA,12,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,261,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,NA,8,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,20,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,NA,3,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,6,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,NA,29,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,107,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,NA,43,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,NA,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Krill,Copepodite,Krill_Copepodite,Thysanopoda sp.,NA,28,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,Thysanopoda sp.,NA,7,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Moonsnail/ Bubble Pteropod,Benthic_Snail_Moonsnail/ Bubble Pteropod,Zacalantica sp.,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,NA,NA,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Bivalve,1,Bivalve_1,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Cephalopod,Squid,Cephalopod_Squid,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,29,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Fish,Long Thin,Fish_Long Thin,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Fish,Scorpion Fish,Fish_Scorpion Fish,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Fish,Unknown Tissue 1,Fish_Unknown Tissue 1,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Meroplankton,Polychaete,Larva 1,Polychaete_Larva 1,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,25,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Cornucopia,Pteropod_Cornucopia,NA,NA,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,NA,NA,3,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,NA,Unknown,3,Unknown_3,NA,NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",NA,5,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,Caridea,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,NA,19,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,485,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,NA,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,NA,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,12,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,18,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Crab,Zoea,Crab_Zoea,Pilumnus sp.,NA,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,69,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,NA,11,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,NA,6,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Amphipod,Hyperiid_All Eyes,Amphipod_Hyperiid_All Eyes,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Benthic_Snail,Bubble 2,Benthic_Snail_Bubble 2,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,NA,NA,32,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,7,Copepod_7,No ID,NA,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,9,Copepod_9,NA,NA,8,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,Like 1 But Chunky,Copepod_Like 1 But Chunky,Clean No Match,NA,9,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,44,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Fish,Huge Egg No Hair,Fish_Huge Egg No Hair,NA,NA,35,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Fish,Large Cloudy Eggs,Fish_Large Cloudy Eggs,NA,NA,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Fish,Myctophid,Fish_Myctophid,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,NA,NA,3,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Ostracod,Cypriid 1,Ostracod_Cypriid 1,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Polychaete,Pelagic 3,Polychaete_Pelagic 3,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Shrimp,8,Shrimp_8,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Holoplankton,Shrimp,Nauplii,Shrimp_Nauplii,NA,NA,2,PAL22_N1_2_S,PAL22_2
PAL22_N1_2_S_2,North,N1,Meroplankton,Stomatopod,Antizoea 3,Stomatopod_Antizoea 3,NA,NA,1,PAL22_N1_2_S,PAL22_2
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,NA,2,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,NA,35,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,500,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Barnacle,Cypriid NA,Barnacle_Cypriid NA,Lepas anserifera,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Horizontal Ridges Orange,Benthic_Snail_Horizontal Ridges Orange,Littoraria sp.,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,34,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,NA,4,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Larvaceans,NA,Larvaceans_NA,NA,Other Gelatinous,35,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,6,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,256,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,NA,NA,6,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Meroplankton,Bivalve,2,Bivalve_2,Clean No Match,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,6,Copepod_6,NA,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,7,Copepod_7,No ID,NA,3,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,18,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,NA,NA,3,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Isopod,1,Isopod_1,NA,NA,1,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Jelly,2,Jelly_2,NA,NA,2,PAL22_N1_3_S,PAL22_3
PAL22_N1_3_S_3,North,N1,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,5,PAL22_N1_3_S,PAL22_3
PAL22_N3_1_S_1,North,N3,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,Clypeaster reticulatus,NA,11,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,NA,58,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,"Creseis clava (Rang, 1828)",NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Styliola (Pin Straight),Pteropod_Styliola (Pin Straight),Creseis sp.,NA,18,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,Creseis virgula,NA,11,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,NA,Unknown,1,Unknown_1,Deosergestes sp.,NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Echinoderm,Echinopluteus 1,Echinoderm_Echinopluteus 1,Echinostrephus aciculatus,NA,150,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Krill,Shrimp_2,Krill_Shrimp_2,Euphausia tenera,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Copepod,2,Copepod_2,Ivellopsis denticauda,NA,154,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),Limacina sp.,NA,8,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,Littorinimorpha,NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Benthic_Snail,Cross-Hatched,Benthic_Snail_Cross-Hatched,Lyncina leviathan,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Echinoderm,Echinopluteus 2,Echinoderm_Echinopluteus 2,Maretia sp.,NA,16,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,Marshallora,NA,3,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,NA,Other Gelatinous,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Evadne,NA,Evadne_NA,Pseudoevadne tergestina,NA,4,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Chaetognath,NA,Chaetognath_NA,Sagittidae,NA,74,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Chaetognath,Round Head,Chaetognath_Round Head,Sagittidae B,NA,31,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Copepod,3,Copepod_3,Sapphirina sp.,NA,6,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Copepod,Snowy,Copepod_Snowy,Sapphirina stellata,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Shrimp,Euphausiid_Larva_NA,Shrimp_Euphausiid_Larva_NA,Sergestidae,NA,9,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Ascidean_Tadpole,NA,Ascidean_Tadpole_NA,NA,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Cnidaria,Cerinula_Larva_NA,Cnidaria_Cerinula_Larva_NA,NA,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Meroplankton,Deciduous_Larva,NA,Deciduous_Larva_NA,NA,NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Fish,Eggs,Fish_Eggs,NA,NA,7,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Fish,Small Eggs,Fish_Small Eggs,NA,NA,13,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Jelly,2,Jelly_2,NA,NA,2,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Corkscrew,Pteropod_Corkscrew,NA,NA,3,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Retroversa 2,Pteropod_Retroversa 2,NA,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Pteropod,Striated,Pteropod_Striated,NA,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,Holoplankton,Shrimp,3,Shrimp_3,NA,NA,7,PAL22_N3_1_S,PAL22_4
PAL22_N3_1_S_1,North,N3,NA,Unknown,4,Unknown_4,NA,NA,1,PAL22_N3_1_S,PAL22_4
PAL22_N3_2_S_2,North,N3,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,NA,1,PAL22_N3_2_S,PAL22_5
