Sample_ID,String,Exped,Family,Binomial,Common name,MaxN,Biomass,Wt,a,b,Length,TR,VUL-F,PD,VUL-C,IUCN,Period time (mins)
PAL14_001,PAL14_01,Palau 2014,Carangidae,Elagatis bipinnulata,rainbow runner,2,2 359,1 180,0.01,2.85,46.35,4.3,51,1,73.66932362,LC,48.748
PAL14_001,PAL14_01,Palau 2014,Carcharhinidae,Carcharhinus amblyrhynchos,blacktail reef shark,1,15 514,15 514,0.0023,3.373,106.24,4.1,85,0.5,-,NT,6.992
PAL14_002,PAL14_01,Palau 2014,Scombridae,Acanthocybium solandri,wahoo,2,1 363,681,0.0016,3.275,52.34,4.3,46,1,76.06382979,LC,127.6582
PAL14_003,PAL14_02,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,2,10.5,5.3,0.0501,2.71,5.57,4.5,45,0.5,71.83098592,LC,181.0954
PAL14_003,PAL14_02,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,9,36.7,4.1,0.0089,3.139,7.04,4,20,0.0501,-,LC,167.9943
PAL14_003,PAL14_02,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,2,7.8,3.9,0.0144,3.076,6.17,3.786503253,49.14460877,0.618913162,-,-,126.3682
PAL14_003,PAL14_02,Palau 2014,Monacanthidae,Cantherhines fronticinctus,spectacled filefish ,1,2.2,2.2,0.0144,3.0755,5.11,3.5,33,0.5002,-,LC,55.6316
PAL14_003,PAL14_02,Palau 2014,Nomeidae,Psenes cyanophrys,freckled driftfish ,11,10.9,1,0.02,3.01,3.67,3.44,19,0.5313,-,LC,164.8109
PAL14_003,PAL14_02,Palau 2014,Unknown,Unknown sp,unknown,11,15.9,1.4,0.0089,3.139,5.06,-,-,-,-,-,164.8109
PAL14_004,PAL14_02,Palau 2014,Carangidae,Carangidae sp,jacks,3,2.7,0.92,0.0257,2.937,3.38,3.79574374,49.40761956,0.613796318,-,-,138.5649
PAL14_004,PAL14_02,Palau 2014,Carangidae,Caranx sexfasciatus,bigeye trevally,4,22,5.5,0.0501,2.71,5.66,4.5,45,0.5,71.83098592,LC,92.4471
PAL14_004,PAL14_02,Palau 2014,Carangidae,Decapterus sp,Decapterus scad,6,5.1,0.85,0.0089,3.139,4.27,4,20,0.0501,-,LC,68.1533
PAL14_004,PAL14_02,Palau 2014,Monacanthidae,Monacanthidae sp,leatherjackets,1,4.1,4.1,0.0144,3.076,6.26,3.786503253,49.14460877,0.618913162,-,-,88.0755
PAL14_005,PAL14_02,Palau 2014,Nomeidae,Psenes sp,Psenes driftfish,3,9.5,3.2,0.02,3.01,5.38,3.52,15,0.51615,-,LC,70.2772
