ID,Region,Site,Replicate,Sampling Depth,Processed By,Processing Date,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Final_ID,Initial Count,Multiplication Factor,Total Count,Present,Preserved,Notes,,,,,,,,,,,,,,,,,,,,,
PAL22_S1_1_S,South,1,1,Surface,Sarah Zuidema,11/14/2023&11/15/2023&11/16/2023&11/17/2023&11/20/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_S3_3_S,South,3,3,Surface,Sarah Zuidema,10/20/2023&10/23/2023&10/24/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_WA_2_S,West,A,2,Surface,Sarah Zuidema,10/25/2023&10/26/2023&10/30/2023&11/1/2023&11/2/2023&11/3/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_S4_1_S,South,4,1,Surface,Sarah Zuidema,11/2/2023&11/3/2023&11/6/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_W3_1_S,West,3,1,Surface,Sarah Zuidema,10/5/2023&10/6/2023&10/9/2023&10/10/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_W4_2_S,West,4,2,Surface,Sarah Zuidema,11/20/2023&11/21/2023&11/27/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_W4_1_S,West,4,1,Surface,Sarah Zuidema,10/10/2023&10/11/2023&10/16/2023&10/17/2023&10/18/2023&10/19/2023&10/23/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,4,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_S2_3_S,South,2,3,Surface,Sarah Zuidema,10/4/2023&10/5/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,5,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,
PAL22_W1_1_S,West,1,1,Surface,Sarah Zuidema,11/6/2023&11/7/2023&11/8/2023&11/14/2023,NA,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,8,1,8,1,0,,,,,,,,,,,,,,,,,,,,,,
PAL22_N1_1_S,North,1,1,Surface,Sarah Zuidema,6/6/2023&6/7/2023&6/8/2023,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae ,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
