,ID,String,Region,Site.x,Zone.x,Type.x,Site_no,Replicate,Plankton_Category,Specimen_Type,Plankton_Group,Total_Count,LATITUDE,LONGITUDE,Type.y
1,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,3,8.63178,134.64127,Surface
2,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,55,8.63178,134.64127,Surface
3,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,7,8.63178,134.64127,Surface
4,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,244,8.63178,134.64127,Surface
5,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,5,8.63178,134.64127,Surface
6,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,20,8.63178,134.64127,Surface
7,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,12,8.63178,134.64127,Surface
8,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,261,8.63178,134.64127,Surface
9,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,8,8.63178,134.64127,Surface
10,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,2,8.63178,134.64127,Surface
11,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1,8.63178,134.64127,Surface
12,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Chaetognath,Chaetognatha,43,8.63178,134.64127,Surface
13,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Copepod,Copepoda,2,8.63178,134.64127,Surface
14,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Krill,Malacostraca,28,8.63178,134.64127,Surface
15,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Shrimp,Malacostraca,7,8.63178,134.64127,Surface
16,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1,8.63178,134.64127,Surface
17,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Amphipod,Crustacea,1,8.63178,134.64127,Surface
18,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Amphipod,Crustacea,2,8.63178,134.64127,Surface
19,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,1,8.63178,134.64127,Surface
20,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Benthic_Snail,Gastropoda,3,8.63178,134.64127,Surface
21,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Larvaceans,Other Gelatinous,6,8.63178,134.64127,Surface
22,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Other Gelatinous,Other Gelatinous,1,8.63178,134.64127,Surface
23,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Crab,Crustacea,29,8.63178,134.64127,Surface
24,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Evadne,Crustacea,107,8.63178,134.64127,Surface
25,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Bivalve,Bivalvia,1,8.63178,134.64127,Surface
26,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Fish,Fish embryo/egg,29,8.63178,134.64127,Surface
27,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Meroplankton,Polychaete,Polychaeta,1,8.63178,134.64127,Surface
28,PAL22_N1_1_S,PAL22_1,North,N1,PNMS North,Zooplankton,1,1,Holoplankton,Pteropod,Gastropoda,25,8.63178,134.64127,Surface
29,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,5,8.60835,134.67621,Surface
30,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Shrimp,Malacostraca,1,8.60835,134.67621,Surface
31,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,19,8.60835,134.67621,Surface
32,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Echinoderm,Echinodermata,1,8.60835,134.67621,Surface
33,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Copepod,Copepoda,485,8.60835,134.67621,Surface
34,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Meroplankton,Barnacle,Gastropoda,2,8.60835,134.67621,Surface
35,PAL22_N1_2_S,PAL22_2,North,N1,PNMS North,Zooplankton,1,2,Holoplankton,Pteropod,Gastropoda,1,8.60835,134.67621,Surface
