"Site","ShannonIndex","SimpsonIndex","Evenness","Zone","SEShannon","SESimpson"
"N1",0.62980353357218,0.352318400156847,0.454307217309465,"PNMS North",0.220703699431023,0.162708233301292
"N3",0.909806209922949,0.53851606805293,0.565294381904404,"PNMS North",0.112084385198336,0.312856445016314
"N4",0,0,NA,"PNMS North",0,0.5
"S1",0.416934772817542,0.177615933412604,0.300754864559017,"PNMS South",0.253182463824955,0.143250688705234
"S2",0.943348392329039,0.58,0.858672711073255,"PNMS South",0.231049060186648,0.288675134594813
"S3",1.55202440885157,0.734567901234568,0.866201315246979,"PNMS South",0.342003773005865,0.1814515262776
"S4",1.22895791521297,0.615384615384615,0.763594485825366,"PNMS South",0.133647715801695,0.0812110127972965
"W1",1.56708122929332,0.704081632653061,0.805320446092591,"DFZ West",0.346573590279973,0.125
"W2",1.5396544474401,0.736111111111111,0.859297508333208,"DFZ West",0.65154620188086,0.179012345679012
"W3",1.25548232517875,0.6875,0.905639062229566,"DFZ West",0,0
"W4",1.7174272720353,0.735205400746912,0.669575509176911,"DFZ West",0.0566793480768434,0.0324535080458453
