String,Family,Binomial,Common name,Type,Zone,Site,Year,MaxN_string,Total_MaxN_sum,N_rigs_observed,Mean_biomass_g,Total_biomass_g,Mean_biomass_kg,Total_biomass_kg,Samples
PAL22_1,Carangidae,Decapterus sp,Decapterus scad,Fish,PNMS North,N1,2022,6,15,3,210.2,630.6,0.2102,0.6306,"PAL22_003, PAL22_004, PAL22_005"
PAL22_1,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,Fish,PNMS North,N1,2022,1,1,1,183.34,183.34,0.18334,0.18334,PAL22_001
PAL22_1,Nomeidae,Psenes sp,Psenes driftfish,Fish,PNMS North,N1,2022,1,1,1,0.36,0.36,3.60E-04,3.60E-04,PAL22_002
PAL22_10,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W1,2022,7,9,3,698.5233333,2095.57,0.698523333,2.09557,"PAL22_047, PAL22_048, PAL22_049"
PAL22_10,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,Fish,DFZ West,W1,2022,1,1,1,315.01,315.01,0.31501,0.31501,PAL22_047
PAL22_10,Nomeidae,Psenes sp,Psenes driftfish,Fish,DFZ West,W1,2022,1,2,2,0.65,1.3,6.50E-04,0.0013,"PAL22_046, PAL22_048"
PAL22_10,None,None,None,Fish,DFZ West,W1,2022,0,0,1,0,0,0,0,PAL22_050
PAL22_11,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W2,2022,2,3,2,420.77,841.54,0.42077,0.84154,"PAL22_054, PAL22_055"
PAL22_11,None,None,None,Fish,DFZ West,W2,2022,0,0,3,0,0,0,0,"PAL22_051, PAL22_052, PAL22_053"
PAL22_12,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W2,2022,1,1,1,209.89,209.89,0.20989,0.20989,PAL22_059
PAL22_12,Carangidae,Caranx sp,Caranx trevally,Fish,DFZ West,W2,2022,1,1,1,79.45,79.45,0.07945,0.07945,PAL22_056
PAL22_12,Carangidae,Decapterus sp,Decapterus scad,Fish,DFZ West,W2,2022,5,12,4,2.44,9.76,0.00244,0.00976,"PAL22_056, PAL22_058, PAL22_059, PAL22_060"
PAL22_12,Monacanthidae,Monacanthus sp,leatherjacket,Fish,DFZ West,W2,2022,1,1,1,3.56,3.56,0.00356,0.00356,PAL22_056
PAL22_12,Nomeidae,Psenes sp,Psenes driftfish,Fish,DFZ West,W2,2022,1,1,1,0.12,0.12,1.20E-04,1.20E-04,PAL22_060
PAL22_12,None,None,None,Fish,DFZ West,W2,2022,0,0,1,0,0,0,0,PAL22_057
PAL22_12,Scombridae,Gymnosarda unicolor,dogtooth tuna,Fish,DFZ West,W2,2022,1,1,1,981.16,981.16,0.98116,0.98116,PAL22_059
PAL22_13,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W3,2022,3,3,1,815.56,815.56,0.81556,0.81556,PAL22_062
PAL22_13,Carangidae,Caranx sp,Caranx trevally,Fish,DFZ West,W3,2022,1,1,1,7.07,7.07,0.00707,0.00707,PAL22_063
PAL22_13,Carangidae,Decapterus sp,Decapterus scad,Fish,DFZ West,W3,2022,3,3,1,3.95,3.95,0.00395,0.00395,PAL22_061
PAL22_13,Nomeidae,Psenes sp,Psenes driftfish,Fish,DFZ West,W3,2022,1,1,1,4.04,4.04,0.00404,0.00404,PAL22_065
PAL22_13,None,None,None,Fish,DFZ West,W3,2022,0,0,1,0,0,0,0,PAL22_064
PAL22_14,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W4,2022,3,4,2,438.56,877.12,0.43856,0.87712,"PAL22_069, PAL22_070"
PAL22_14,Carangidae,Decapterus sp,Decapterus scad,Fish,DFZ West,W4,2022,3,3,1,16.3,16.3,0.0163,0.0163,PAL22_068
PAL22_14,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,Fish,DFZ West,W4,2022,2,3,2,484.25,968.5,0.48425,0.9685,"PAL22_068, PAL22_070"
PAL22_14,Monacanthidae,Monacanthus sp,leatherjacket,Fish,DFZ West,W4,2022,1,1,1,3.56,3.56,0.00356,0.00356,PAL22_066
PAL22_14,Nomeidae,Psenes sp,Psenes driftfish,Fish,DFZ West,W4,2022,2,3,2,0.34,0.68,3.40E-04,6.80E-04,"PAL22_067, PAL22_070"
PAL22_15,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W4,2022,8,18,5,735.11,3675.55,0.73511,3.67555,"PAL22_071, PAL22_072, PAL22_073, PAL22_074, PAL22_075"
PAL22_15,Carangidae,Carangidae sp,jacks,Fish,DFZ West,W4,2022,17,17,1,15.9,15.9,0.0159,0.0159,PAL22_073
PAL22_15,Carangidae,Caranx sp,Caranx trevally,Fish,DFZ West,W4,2022,4,4,1,188.11,188.11,0.18811,0.18811,PAL22_074
PAL22_15,Carangidae,Decapterus sp,Decapterus scad,Fish,DFZ West,W4,2022,88,106,4,1304.775,5219.1,1.304775,5.2191,"PAL22_072, PAL22_073, PAL22_074, PAL22_075"
PAL22_15,Carangidae,Selar crumenophthalmus,bigeye scad,Fish,DFZ West,W4,2022,7,8,2,336.45,672.9,0.33645,0.6729,"PAL22_073, PAL22_075"
PAL22_15,Carangidae,Seriola rivoliana,longfin yellowtail,Fish,DFZ West,W4,2022,1,1,1,53.16,53.16,0.05316,0.05316,PAL22_073
PAL22_15,Monacanthidae,Aluterus monoceros,unicorn leatherjacket filefish,Fish,DFZ West,W4,2022,2,3,2,46.925,93.85,0.046925,0.09385,"PAL22_072, PAL22_073"
PAL22_15,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,Fish,DFZ West,W4,2022,2,2,1,639.94,639.94,0.63994,0.63994,PAL22_074
PAL22_15,Nomeidae,Psenes cyanophrys,freckled driftfish,Fish,DFZ West,W4,2022,37,56,2,1692.415,3384.83,1.692415,3.38483,"PAL22_074, PAL22_075"
PAL22_16,Balistidae,Canthidermis maculata,rought triggerfish,Fish,DFZ West,W4,2022,11,17,4,740.2425,2960.97,0.7402425,2.96097,"PAL22_076, PAL22_077, PAL22_078, PAL22_080"
PAL22_16,Carangidae,Decapterus sp,Decapterus scad,Fish,DFZ West,W4,2022,16,16,1,1136.11,1136.11,1.13611,1.13611,PAL22_077
PAL22_16,Carcharhinidae,Carcharhinus falciformis,silky shark,Fish,DFZ West,W4,2022,1,1,1,16176.32,16176.32,16.17632,16.17632,PAL22_076
PAL22_16,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,Fish,DFZ West,W4,2022,1,1,1,319.97,319.97,0.31997,0.31997,PAL22_076
PAL22_16,Nomeidae,Psenes cyanophrys,freckled driftfish,Fish,DFZ West,W4,2022,6,6,1,350.12,350.12,0.35012,0.35012,PAL22_077
PAL22_16,None,None,None,Fish,DFZ West,W4,2022,0,0,1,0,0,0,0,PAL22_079
