"Site","Zone","Family","Binomial","Common.name","NumStringsPresent","OccurrenceFrequency","TotalMaxN","MeanMaxNPerString","TotalBiomass_kg","MeanBiomassPerString","SEMaxN","SEBiomass"
"N1","PNMS North","Coryphaenidae","Coryphaena equiselis","pompano dolphinfish",1,33.3333333333333,79,26.3333333333333,6.88906,2.29635333333333,26.3333333333333,2.29635333333333
"N1","PNMS North","Carangidae","Decapterus sp","Decapterus scad",2,66.6666666666667,19,6.33333333333333,1.05018,0.35006,3.75647588986155,0.225001936880552
"N1","PNMS North","Nomeidae","Psenes sp","Psenes driftfish",2,66.6666666666667,2,0.666666666666667,0.00052,0.000173333333333333,0.333333333333333,0.000104136662345422
"N1","PNMS North","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",1,33.3333333333333,1,0.333333333333333,0.18334,0.0611133333333333,0.333333333333333,0.0611133333333333
"N1","PNMS North","None","None","None",1,33.3333333333333,0,0,0,0,0,0
"N3","PNMS North","Carangidae","Decapterus sp","Decapterus scad",1,33.3333333333333,51,17,2.95509,0.98503,17,0.98503
"N3","PNMS North","Balistidae","Canthidermis maculata","rought triggerfish",3,100,36,12,9.76931,3.25643666666667,7,1.8129693573558
"N3","PNMS North","Carangidae","Elagatis bipinnulata","rainbow runner",2,66.6666666666667,2,0.666666666666667,0.28454,0.0948466666666667,0.333333333333333,0.0474233333333333
"N3","PNMS North","Coryphaenidae","Coryphaena hippurus","common dolphinfish",1,33.3333333333333,2,0.666666666666667,2.03883,0.67961,0.666666666666667,0.67961
"N3","PNMS North","Nomeidae","Psenes sp","Psenes driftfish",1,33.3333333333333,1,0.333333333333333,0.00039,0.00013,0.333333333333333,0.00013
"N4","PNMS North","Balistidae","Canthidermis maculata","rought triggerfish",1,50,1,0.5,0.59171,0.295855,0.5,0.295855
"N4","PNMS North","None","None","None",2,100,0,0,0,0,0,0
"S1","PNMS South","Carangidae","Decapterus sp","Decapterus scad",3,100,105,35,0.30002,0.100006666666667,10.0166528008778,0.0343275410971683
"S1","PNMS South","Coryphaenidae","Coryphaena hippurus","common dolphinfish",1,33.3333333333333,4,1.33333333333333,16.07849,5.35949666666667,1.33333333333333,5.35949666666667
"S1","PNMS South","Nomeidae","Psenes sp","Psenes driftfish",3,100,4,1.33333333333333,0.00302,0.00100666666666667,0.333333333333333,0.000725909391346086
"S1","PNMS South","Carangidae","Caranx sp","Caranx trevally",1,33.3333333333333,3,1,0.01457,0.00485666666666667,1,0.00485666666666667
"S1","PNMS South","Molidae","Masturus lanceolatus","sharptail mola",1,33.3333333333333,1,0.333333333333333,134.0516,44.6838666666667,0.333333333333333,44.6838666666667
"S2","PNMS South","Nomeidae","Psenes sp","Psenes driftfish",3,100,5,1.66666666666667,0.00076,0.000253333333333333,0.666666666666667,0.000103976493069881
"S2","PNMS South","Balistidae","Canthidermis maculata","rought triggerfish",2,66.6666666666667,4,1.33333333333333,0.78086,0.260286666666667,0.666666666666667,0.176532612410411
