"Zone","Site","Family","Binomial","Common.name","MaxN_string","Mean_MaxN","Total_biomass_kg","Mean_biomass_kg","NumStringsObserved","NumStringsInSite","OccurrenceFrequency","RelativeMaxN","RelativeBiomass"
"PNMS North","N1","Coryphaenidae","Coryphaena equiselis","pompano dolphinfish",79,79,8.37964,8.37964,1,3,33.3333333333333,78.2178217821782,84.0981441411786
"PNMS North","N1","Carangidae","Decapterus sp","Decapterus scad",19,19,1.40058,1.40058,2,3,66.6666666666667,18.8118811881188,14.0562337667551
"PNMS North","N1","Nomeidae","Psenes sp","Psenes driftfish",2,2,0.00056,0.00056,2,3,66.6666666666667,1.98019801980198,0.00562016515256741
"PNMS North","N1","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",1,1,0.18334,0.18334,1,3,33.3333333333333,0.99009900990099,1.84000192691377
"PNMS North","N1","None","None","None",0,0,0,0,1,3,33.3333333333333,0,0
"PNMS North","N3","Carangidae","Decapterus sp","Decapterus scad",51,51,2.95509,2.95509,1,3,33.3333333333333,55.4347826086957,15.6248727708797
"PNMS North","N3","Balistidae","Canthidermis maculata","rought triggerfish",36,36,13.63388,13.63388,3,3,100,39.1304347826087,72.0883764533201
"PNMS North","N3","Carangidae","Elagatis bipinnulata","rainbow runner",2,2,0.28454,0.28454,2,3,66.6666666666667,2.17391304347826,1.50448930429399
"PNMS North","N3","Coryphaenidae","Coryphaena hippurus","common dolphinfish",2,2,2.03883,2.03883,1,3,33.3333333333333,2.17391304347826,10.7801993683619
"PNMS North","N3","Nomeidae","Psenes sp","Psenes driftfish",1,1,0.00039,0.00039,1,3,33.3333333333333,1.08695652173913,0.0020621031442843
"PNMS North","N4","Balistidae","Canthidermis maculata","rought triggerfish",1,1,1.96412,1.96412,1,2,50,100,100
"PNMS North","N4","None","None","None",0,0,0,0,2,2,100,0,0
"DFZ West","W1","Balistidae","Canthidermis maculata","rought triggerfish",7,7,2.09557,2.09557,1,2,50,50,73.2166378421816
"DFZ West","W1","Nomeidae","Psenes sp","Psenes driftfish",2,2,0.00361,0.00361,2,2,100,14.2857142857143,0.126128958999354
"DFZ West","W1","Balistidae","Balistidae sp","triggerfishes",1,1,0.04105,0.04105,1,2,50,7.14285714285714,1.43423650053282
"DFZ West","W1","Monacanthidae","Aluterus monoceros","unicorn leatherjacket filefish",1,1,0.20959,0.20959,1,2,50,7.14285714285714,7.32281676362175
"DFZ West","W1","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",1,1,0.31501,0.31501,1,2,50,7.14285714285714,11.0060618765613
"DFZ West","W2","Carangidae","Decapterus sp","Decapterus scad",5,5,0.00976,0.00976,1,2,50,41.6666666666667,0.45919039464027
"DFZ West","W2","Balistidae","Canthidermis maculata","rought triggerfish",3,3,1.05143,1.05143,2,2,100,25,49.4678849012929
"DFZ West","W2","Carangidae","Caranx sp","Caranx trevally",1,1,0.07945,0.07945,1,2,50,8.33333333333333,3.73797918587801
"DFZ West","W2","Monacanthidae","Monacanthus sp","leatherjacket",1,1,0.00356,0.00356,1,2,50,8.33333333333333,0.167491578372885
"DFZ West","W2","Nomeidae","Psenes sp","Psenes driftfish",1,1,0.00012,0.00012,1,2,50,8.33333333333333,0.00564578354065905
