"String","Site","Zone","StringTotalMaxN","StringTotalBiomass_kg","StringSpeciesRichness","StringFamilyRichness"
"PAL22_1","N1","PNMS North",8,0.8143,3,3
"PAL22_10","W1","DFZ West",9,2.41188,4,4
"PAL22_11","W2","DFZ West",2,0.84154,2,2
"PAL22_12","W2","DFZ West",10,1.28394,7,6
"PAL22_13","W3","DFZ West",8,0.83062,5,4
"PAL22_14","W4","DFZ West",11,1.86616,5,4
"PAL22_15","W4","DFZ West",166,13.94334,9,4
"PAL22_16","W4","DFZ West",59,24.28139,7,7
"PAL22_17","S2","PNMS South",4,1.16515,3,3
"PAL22_18","S2","PNMS South",1,0.00017,2,2
"PAL22_19","S2","PNMS South",5,0.34827,3,3
"PAL22_2","N1","PNMS North",93,9.14982,3,3
"PAL22_20","S3","PNMS South",3,36.65563,4,4
"PAL22_21","S3","PNMS South",0,0,1,1
"PAL22_22","S3","PNMS South",15,37.02705,7,5
"PAL22_23","S4","PNMS South",4,0.80682,4,3
"PAL22_24","S4","PNMS South",12,0.42176,4,3
"PAL22_25","S4","PNMS South",10,26.17467,5,4
"PAL22_26","S1","PNMS South",25,16.1876,4,3
"PAL22_27","S1","PNMS South",51,0.33118,3,3
"PAL22_28","S1","PNMS South",40,0.25461,3,3
"PAL22_3","N1","PNMS North",0,0,1,1
"PAL22_4","N3","PNMS North",6,2.67119,3,3
"PAL22_5","N3","PNMS North",26,7.38945,2,2
"PAL22_6","N3","PNMS North",60,8.85209,5,4
"PAL22_7","N4","PNMS North",1,1.96412,2,2
"PAL22_8","N4","PNMS North",0,0,1,1
"PAL22_9","W1","DFZ West",5,0.45027,6,5
