Sample,String,Site,Zone,Type,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Initial_Count,Multiplication_Factor,Total_Count,Present
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae ,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Benthic_Snail,Clear/Smooth Swiss Chalet,Benthic_Snail_Clear/Smooth Swiss Chalet,Buccinoidea,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,1,1,1,1
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",7,1,7,1
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Polychaete,1,Polychaete_1,Capitellidae,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,Caridea ,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,Clypeaster reticulatus,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,Clypeaster sp.,0,1,0,0
PAL22_N1_1_S_1,PAL22_N1_1_S,N1,PNMS North,Zooplankton,Holoplankton,Copepod,1,Copepod_1,Corycaeidae sp.,244,1,244,1
