Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Total Count,FunctionalGroup
PAL22_W1_1_S_1,West,W1,Meroplankton,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,8,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae,2,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae,2,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae,5,Benthic Invertebrate Larvae
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,1,Benthic Invertebrate Larvae
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,1,Benthic Invertebrate Larvae
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,6,Benthic Invertebrate Larvae
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,10,Benthic Invertebrate Larvae
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,35,Benthic Invertebrate Larvae
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,111,Benthic Invertebrate Larvae
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",5,Small Crustacean Plankton
