Sample,Zone,Site,Type,Plankton_Category,Specimen_Type,Morphotype,Spec_Morph,Total_Count,SampleBase,BRUVString
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Copepod,5,Copepod_5,7,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Copepod,1,Copepod_1,244,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Unshelled,Pteropod_Unshelled,5,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Ice Cream Cone,Pteropod_Ice Cream Cone,55,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Helicina (Flat),Pteropod_Helicina (Flat),12,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Copepod,2,Copepod_2,261,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Pteropod,Retroversa (Snail-Like),Pteropod_Retroversa (Snail-Like),8,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Benthic_Snail,Cinnamon Roll,Benthic_Snail_Cinnamon Roll,20,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Swiss Chalet Orange,Benthic_Snail_Swiss Chalet Orange,3,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Larvaceans,NA,Larvaceans_NA,6,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Other Gelatinous,NA,Other Gelatinous_NA,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Crab,Zoea,Crab_Zoea,29,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Evadne,NA,Evadne_NA,107,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Chaetognath,NA,Chaetognath_NA,43,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Copepod,3,Copepod_3,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Krill,Copepodite,Krill_Copepodite,28,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Shrimp,Mysid,Shrimp_Mysid,7,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Moonsnail/ Bubble Pteropod,Benthic_Snail_Moonsnail/ Bubble Pteropod,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Amphipod,Hyperiid_Big Thighs,Amphipod_Hyperiid_Big Thighs,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Amphipod,Hyperiid_NA,Amphipod_Hyperiid_NA,2,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Benthic_Snail,Short Light Orange,Benthic_Snail_Short Light Orange,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Meroplankton,Bivalve,1,Bivalve_1,1,PAL22_N1_1_S,PAL22_1
PAL22_N1_1_S_1,North,N1,Zooplankton,Holoplankton,Cephalopod,Squid,Cephalopod_Squid,1,PAL22_N1_1_S,PAL22_1
