Sample,Zone,Site,Plankton Category,Specimen Type,Morphotype,Spec_Morph,Genetic_ID,Final_ID,Total Count
PAL22_W1_1_S_1,West,W1,Meroplankton,Cnidaria,Unknown_27,Cnidaria_Unknown_27,Actiniaria,,8
PAL22_S1_1_S_1,South,S1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae ,,2
PAL22_W1_2_S_2,West,W1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae ,,2
PAL22_W1_1_S_1,West,W1,Meroplankton,Sipunculan,Pelagosphera 1,Sipunculan_Pelagosphera 1,Aspidosiphonidae ,,5
PAL22_N1_1_S_1,North,N1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,1
PAL22_N1_3_S_3,North,N1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,1
PAL22_W1_1_S_1,West,W1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,6
PAL22_W1_2_S_2,West,W1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,10
PAL22_S1_1_S_1,South,S1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,35
PAL22_S1_3_S_3,South,S1,Meroplankton,Benthic_Snail,Dark Angle Orange,Benthic_Snail_Dark Angle Orange,Cancellaridae,,111
PAL22_N1_2_S_2,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,5
PAL22_N1_1_S_1,North,N1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,7
PAL22_S1_3_S_3,South,S1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,23
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,75
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,624
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,5,Copepod_5,"Candacia ethiopica (Dana, 1849)",,118
PAL22_N1_3_S_3,North,N1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,,1
PAL22_W1_1_S_1,West,W1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,,2
PAL22_W1_2_S_2,West,W1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,,2
PAL22_S1_1_S_1,South,S1,Holoplankton,Copepod,8,Copepod_8,Candacia truncata,,8
PAL22_N1_2_S_2,North,N1,Holoplankton,Shrimp,Lobster-Like Larva,Shrimp_Lobster-Like Larva,Caridea ,,1
PAL22_W1_2_S_2,West,W1,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,,5
PAL22_S1_3_S_3,South,S1,Meroplankton,Polychaete,Larva 7,Polychaete_Larva 7,Chaetopteridae,,8
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Ophiopluteus NA,Echinoderm_Ophiopluteus NA,Clypeaster reticulatus,,1
PAL22_S1_3_S_3,South,S1,Meroplankton,Echinoderm,Echinopluteus 3,Echinoderm_Echinopluteus 3,Clypeaster sp.,,4
