Sample,String,Site,Zone,Type,Year,Family,Binomial,Common name,MaxN,Biomass_g,Biomass_kg
PAL22_001,PAL22_1,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_002,PAL22_1,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,0.00036
PAL22_003,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_004,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_005,PAL22_1,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,15,1282.21,1.28221
PAL22_006,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.04,0.00004
PAL22_007,PAL22_2,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,13,769.98,0.76998
PAL22_008,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,3,208.37,0.20837
PAL22_009,PAL22_2,N1,PNMS North,Fish,2022,Coryphaenidae,Coryphaena equiselis,pompano dolphinfish,79,6889.06,6.88906
PAL22_010,PAL22_2,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.16,0.00016
PAL22_011,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_012,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_013,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_014,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_015,PAL22_3,N1,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_016,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_017,PAL22_4,N3,PNMS North,Fish,2022,Carangidae,Elagatis bipinnulata,rainbow runner,1,142.27,0.14227
PAL22_018,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,2,765.37,0.76537
PAL22_019,PAL22_4,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,5,1763.55,1.76355
PAL22_020,PAL22_4,N3,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_021,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_022,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,1,524.92,0.52492
PAL22_023,PAL22_5,N3,PNMS North,Fish,2022,Balistidae,Canthidermis maculata,rought triggerfish,26,6864.53,6.86453
PAL22_024,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_025,PAL22_5,N3,PNMS North,Fish,2022,None,None,None,0,0,0
PAL22_026,PAL22_6,N3,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,51,2955.09,2.95509
