String,Site,Zone,PlanktonSample,TotalMaxN,TotalBiomass_kg,SpeciesRichness,TotalPlanktonCount,Fish_Decapterus_sp,Fish_Aluterus_scriptus,Fish_Psenes_sp,Fish_Canthidermis_maculata,Fish_Caranx_sp,Fish_Monacanthus_sp,Fish_Gymnosarda_unicolor,Fish_Carangidae_sp,Fish_Selar_crumenophthalmus,Fish_Seriola_rivoliana,Fish_Aluterus_monoceros,Fish_Psenes_cyanophrys,Fish_Carcharhinus_falciformis,Fish_Thunnus_sp,Fish_Coryphaena_equiselis,Fish_Makaira_nigricans,Fish_Coryphaena_hippurus,Fish_Elagatis_bipinnulata,Fish_Balistidae_sp,Fish_Aluterus_sp,Fish_Priacanthus_sp,Plankton_Amphipod,Plankton_Benthic_Snail,Plankton_Bivalve,Plankton_Cephalopod,Plankton_Chaetognath,Plankton_Copepod,Plankton_Crab,Plankton_Evadne,Plankton_Fish,Plankton_Krill,Plankton_Larvaceans,Plankton_Other_Gelatinous,Plankton_Polychaete,Plankton_Pteropod,Plankton_Shrimp,Plankton_Unknown,Plankton_Barnacle,Plankton_Echinoderm,Plankton_Ostracod,Plankton_Stomatopod,Plankton_Isopod,Plankton_Jelly,Plankton_Ascidean_Tadpole,Plankton_Cnidaria,Plankton_Deciduous_Larva,Plankton_Embryo,Plankton_Limpet,Plankton_Nemertean,Plankton_Nudibranch,Plankton_Salp,Plankton_Sipunculan,Plankton_Bryozoan,Plankton_Porifera,Plankton_Huge_Hairy_Egg,Plankton_Platyhelminth,Plankton_Tick,Plankton_Oligochaete,Plankton_Hemichordate,Plankton_Phoronid
PAL22_1,N1,PNMS North,PAL22_N1_1_S_1,8,0.8143000000000001,3,912,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,1,1,43,514,29,107,32,28,6,1,1,110,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAL22_10,W1,DFZ West,PAL22_W1_1_S_1,9,2.41188,3,8529,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,544,30,3,631,4638,2,960,93,36,0,832,4,513,65,2,8,12,0,1,0,2,7,9,0,5,8,1,61,0,20,0,4,0,2,0,0,0,0
PAL22_11,W2,DFZ West,PAL22_WA_1_S_1,2,0.84154,1,20745,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1056,3,0,31,18879,0,164,51,1,21,62,15,254,4,4,96,4,0,0,31,2,0,27,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0
PAL22_12,W2,DFZ West,PAL22_WA_1_S_1,10,1.28394,6,20745,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1056,3,0,31,18879,0,164,51,1,21,62,15,254,4,4,96,4,0,0,31,2,0,27,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0
PAL22_13,W3,DFZ West,PAL22_W3_1_S_1,8,0.83062,4,10784,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1196,2,0,231,5615,0,1088,46,4,6,1920,5,262,78,13,72,8,1,0,4,3,10,80,0,0,6,0,61,2,6,0,0,2,3,0,1,0,0
PAL22_14,W4,DFZ West,PAL22_W4_1_S_1,11,1.86616,5,40625,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3092,106,4,892,33521,1,266,94,9,0,1328,88,467,38,7,35,121,6,0,2,8,1,5,0,14,24,5,275,0,161,0,1,3,3,0,0,2,2
PAL22_15,W4,DFZ West,PAL22_W4_1_S_1,166,13.94334,9,40625,88,2,0,8,4,0,0,17,7,1,2,37,0,0,0,0,0,0,0,0,0,44,3092,106,4,892,33521,1,266,94,9,0,1328,88,467,38,7,35,121,6,0,2,8,1,5,0,14,24,5,275,0,161,0,1,3,3,0,0,2,2
PAL22_16,W4,DFZ West,PAL22_W4_1_S_1,59,24.281390000000005,6,40625,16,1,0,11,0,0,0,0,0,0,0,6,1,24,0,0,0,0,0,0,0,44,3092,106,4,892,33521,1,266,94,9,0,1328,88,467,38,7,35,121,6,0,2,8,1,5,0,14,24,5,275,0,161,0,1,3,3,0,0,2,2
PAL22_17,S2,PNMS South,PAL22_S2_2_S_2,4,1.16515,3,2662,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,752,8,1,11,955,0,198,396,0,64,125,6,79,31,1,6,6,1,0,2,5,1,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0
PAL22_18,S2,PNMS South,PAL22_S2_2_S_2,1,1.7e-4,1,2662,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,752,8,1,11,955,0,198,396,0,64,125,6,79,31,1,6,6,1,0,2,5,1,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0
