BRUVString,Zone.x,Site.x,Type.x,Plankton_Category,Specimen_Type,Total_Specimens,Unique_Morphotypes,Sample,Site.y,Zone.y,Type.y,Year,Family,Binomial,Common name,MaxN,Biomass_g,Biomass_kg
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Amphipod,3,2,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Amphipod,3,2,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Amphipod,3,2,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Amphipod,3,2,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Amphipod,3,2,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Benthic_Snail,20,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Benthic_Snail,20,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Benthic_Snail,20,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Benthic_Snail,20,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Benthic_Snail,20,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Cephalopod,1,1,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Cephalopod,1,1,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Cephalopod,1,1,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Cephalopod,1,1,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Cephalopod,1,1,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Chaetognath,43,0,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Chaetognath,43,0,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Chaetognath,43,0,PAL22_003,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,4,142.67,0.14267
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Chaetognath,43,0,PAL22_004,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,6,280.2,0.2802
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Chaetognath,43,0,PAL22_005,N1,PNMS North,Fish,2022,Carangidae,Decapterus sp,Decapterus scad,5,207.73,0.20773
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Copepod,514,4,PAL22_001,N1,PNMS North,Fish,2022,Monacanthidae,Aluterus scriptus,scribbled leatherjacket filefish,1,183.34,0.18334
PAL22_1,PNMS North,N1,Zooplankton,Holoplankton,Copepod,514,4,PAL22_002,N1,PNMS North,Fish,2022,Nomeidae,Psenes sp,Psenes driftfish,1,0.36,3.6e-4
