Binomial,Family,Common name,Species_Column
Decapterus sp,Carangidae,Decapterus scad,Fish_Decapterus_sp
Aluterus scriptus,Monacanthidae,scribbled leatherjacket filefish,Fish_Aluterus_scriptus
Psenes sp,Nomeidae,Psenes driftfish,Fish_Psenes_sp
Canthidermis maculata,Balistidae,rought triggerfish,Fish_Canthidermis_maculata
Caranx sp,Carangidae,Caranx trevally,Fish_Caranx_sp
Monacanthus sp,Monacanthidae,leatherjacket,Fish_Monacanthus_sp
Gymnosarda unicolor,Scombridae,dogtooth tuna,Fish_Gymnosarda_unicolor
Carangidae sp,Carangidae,jacks,Fish_Carangidae_sp
Selar crumenophthalmus,Carangidae,bigeye scad,Fish_Selar_crumenophthalmus
Seriola rivoliana,Carangidae,longfin yellowtail,Fish_Seriola_rivoliana
Aluterus monoceros,Monacanthidae,unicorn leatherjacket filefish,Fish_Aluterus_monoceros
Psenes cyanophrys,Nomeidae,freckled driftfish,Fish_Psenes_cyanophrys
Carcharhinus falciformis,Carcharhinidae,silky shark,Fish_Carcharhinus_falciformis
Thunnus sp,Scombridae,tuna,Fish_Thunnus_sp
Coryphaena equiselis,Coryphaenidae,pompano dolphinfish,Fish_Coryphaena_equiselis
Makaira nigricans,Istiophoridae,blue marlin,Fish_Makaira_nigricans
Coryphaena hippurus,Coryphaenidae,common dolphinfish,Fish_Coryphaena_hippurus
Elagatis bipinnulata,Carangidae,rainbow runner,Fish_Elagatis_bipinnulata
Balistidae sp,Balistidae,triggerfishes,Fish_Balistidae_sp
Aluterus sp,Monacanthidae,leatherjacket filefish,Fish_Aluterus_sp
Priacanthus sp,Priacanthidae,bigeye,Fish_Priacanthus_sp
