"String","Site","Zone","Family","Binomial","Common.name","MaxN_string","Biomass_kg_string"
"PAL22_1","N1","PNMS North","Carangidae","Decapterus sp","Decapterus scad",6,0.2802
"PAL22_1","N1","PNMS North","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",1,0.18334
"PAL22_1","N1","PNMS North","Nomeidae","Psenes sp","Psenes driftfish",1,0.00036
"PAL22_10","W1","DFZ West","Balistidae","Canthidermis maculata","rought triggerfish",7,1.11944
"PAL22_10","W1","DFZ West","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",1,0.31501
"PAL22_10","W1","DFZ West","Nomeidae","Psenes sp","Psenes driftfish",1,0.00065
"PAL22_10","W1","DFZ West","None","None","None",0,0
"PAL22_11","W2","DFZ West","Balistidae","Canthidermis maculata","rought triggerfish",2,0.56103
"PAL22_11","W2","DFZ West","None","None","None",0,0
"PAL22_12","W2","DFZ West","Balistidae","Canthidermis maculata","rought triggerfish",1,0.20989
"PAL22_12","W2","DFZ West","Carangidae","Caranx sp","Caranx trevally",1,0.07945
"PAL22_12","W2","DFZ West","Carangidae","Decapterus sp","Decapterus scad",5,0.00407
"PAL22_12","W2","DFZ West","Carcharhinidae","Galeocerdo cuvier","tiger shark",1,334.93431
"PAL22_12","W2","DFZ West","Monacanthidae","Monacanthus sp","leatherjacket",1,0.00356
"PAL22_12","W2","DFZ West","Nomeidae","Psenes sp","Psenes driftfish",1,0.00012
"PAL22_12","W2","DFZ West","None","None","None",0,0
"PAL22_12","W2","DFZ West","Scombridae","Gymnosarda unicolor","dogtooth tuna",1,0.98116
"PAL22_13","W3","DFZ West","Balistidae","Canthidermis maculata","rought triggerfish",3,0.81556
"PAL22_13","W3","DFZ West","Carangidae","Caranx sp","Caranx trevally",1,0.00707
"PAL22_13","W3","DFZ West","Carangidae","Decapterus sp","Decapterus scad",3,0.00395
"PAL22_13","W3","DFZ West","Nomeidae","Psenes sp","Psenes driftfish",1,0.00404
"PAL22_13","W3","DFZ West","None","None","None",0,0
"PAL22_14","W4","DFZ West","Balistidae","Canthidermis maculata","rought triggerfish",3,0.55584
"PAL22_14","W4","DFZ West","Carangidae","Decapterus sp","Decapterus scad",3,0.0163
"PAL22_14","W4","DFZ West","Monacanthidae","Aluterus scriptus","scribbled leatherjacket filefish",2,0.5857
"PAL22_14","W4","DFZ West","Monacanthidae","Monacanthus sp","leatherjacket",1,0.00356
"PAL22_14","W4","DFZ West","Nomeidae","Psenes sp","Psenes driftfish",2,0.00064
