"Zone","Functional_Group","FG_TotalMaxN","FG_TotalBiomass_kg","FG_SpeciesRichness","FG_MeanTR","NumStrings","NumSites","ZoneTotalMaxN","ZoneTotalBiomass_kg","FG_PercentMaxN","FG_PercentBiomass"
"PNMS North","Pelagic Macropredator",83,10.70301,3,4.49277108433735,3,2,194,30.84097,42.7835051546392,34.7038695605229
"PNMS North","Zooplanktivore",73,4.35662,2,3.97945205479452,3,2,194,30.84097,37.6288659793814,14.126079692046
"PNMS North","Oceanic Omnivore",38,15.78134,2,3.48157894736842,5,3,194,30.84097,19.5876288659794,51.1700507474311
"DFZ West","Zooplanktivore",172,10.80249,5,3.82441860465116,7,4,270,45.90914,63.7037037037037,23.5301510766701
"DFZ West","Oceanic Omnivore",48,14.26758,6,3.4375,8,4,270,45.90914,17.7777777777778,31.0778637979278
"DFZ West","Apex Pelagic Predator",26,20.49538,3,4.31538461538462,2,2,270,45.90914,9.62962962962963,44.6433542427499
"DFZ West","Mixed Group",17,0.0159,1,3.8,1,1,270,45.90914,6.2962962962963,0.03463362633236
"DFZ West","Pelagic Macropredator",7,0.32779,2,3.9,3,3,270,45.90914,2.59259259259259,0.713997256319766
"PNMS South","Zooplanktivore",141,0.75631,3,3.95815602836879,11,4,170,119.37291,82.9411764705882,0.633569207620054
"PNMS South","Pelagic Macropredator",18,39.97974,3,4.07222222222222,7,4,170,119.37291,10.5882352941176,33.4914680391054
"PNMS South","Oceanic Omnivore",8,2.92339,2,3.5375,5,3,170,119.37291,4.70588235294118,2.44895596496726
"PNMS South","Apex Pelagic Predator",3,75.71347,2,4.5,3,2,170,119.37291,1.76470588235294,63.4260067883073
